Quantity,Price,Side
0.00010000,30659.64000000,SELL
0.00010000,30656.71000000,SELL
0.00010000,30648.38000000,SELL
0.00010000,30652.45000000,SELL
0.00010000,30651.18000000,SELL
0.00010000,30667.28000000,SELL
0.00010000,30637.23000000,SELL
0.00010000,30637.05000000,SELL
0.00010000,30646.97000000,SELL
0.00010000,30663.36000000,SELL
0.00010000,30703.48000000,SELL
0.00010000,30633.16000000,SELL
0.00010000,30619.55000000,SELL
0.00010000,30562.45000000,SELL
0.00010000,30640.88000000,SELL
0.00010000,30484.17000000,SELL
0.00010000,30466.10000000,SELL
0.00010000,29723.00000000,BUY
0.00010000,29792.81000000,BUY
0.00010000,29816.16000000,BUY
0.00010000,29781.75000000,BUY
0.00031000,29795.88000000,BUY
0.00030000,29812.45000000,BUY
0.00030000,29876.18000000,BUY
0.00028000,29956.38000000,BUY
0.00025000,29903.06000000,BUY
0.00027000,29937.61000000,BUY
0.00027000,29963.20000000,BUY
0.00026000,29971.81000000,BUY
0.00026000,29978.54000000,BUY
0.00026000,29990.34000000,BUY
0.00025000,29941.12000000,BUY
0.00024000,30002.04000000,BUY
0.00024000,29963.50000000,BUY
0.00024000,29990.90000000,BUY
0.00024000,30000.14000000,BUY
0.00023000,29972.87000000,BUY
0.00024000,29985.37000000,BUY
0.00023000,29943.24000000,BUY
0.00023000,30000.03000000,BUY
0.00023000,29976.57000000,BUY
0.00023000,29989.83000000,BUY
0.00022000,29932.18000000,BUY
0.00022000,30012.20000000,BUY
0.00022000,30051.12000000,BUY
0.00022000,30021.39000000,BUY
0.00022000,30032.37000000,BUY
0.00021000,29989.89000000,BUY
0.00021000,30052.68000000,BUY
0.00021000,30042.01000000,BUY
0.00020000,30059.17000000,BUY
0.00020000,30047.69000000,BUY
0.00020000,30057.34000000,BUY
0.00020000,29992.25000000,BUY
0.00019000,30033.47000000,BUY
0.00018000,30033.30000000,BUY
0.00018000,30040.55000000,BUY
0.00018000,30051.85000000,BUY
0.00018000,30033.49000000,BUY
0.00017000,30056.93000000,BUY
0.00010000,30052.85000000,BUY
0.00010000,30048.98000000,BUY
0.00010000,30057.28000000,BUY
0.00010000,30038.64000000,BUY
0.00010000,30052.39000000,BUY
0.00010000,30029.74000000,BUY
0.00010000,30104.66000000,BUY
0.00010000,30092.38000000,BUY
0.00010000,30075.77000000,BUY
0.00010000,30117.96000000,BUY
0.00010000,30083.09000000,BUY
0.00016000,30503.97000000,SELL
0.00016000,30453.36000000,SELL
0.00015000,30468.41000000,SELL
0.00015000,30431.64000000,SELL
0.00015000,30440.24000000,SELL
0.00015000,30456.92000000,SELL
0.00015000,30402.00000000,SELL
0.00014000,30443.47000000,SELL
0.00014000,30403.53000000,SELL
0.00014000,30426.32000000,SELL
0.00013000,30421.16000000,SELL
0.00010000,30103.52000000,BUY
0.00010000,30112.93000000,BUY
0.00010000,30067.10000000,BUY
0.00010000,30066.59000000,BUY
0.00010000,30079.85000000,BUY
0.00010000,30126.66000000,BUY
0.00010000,30109.11000000,BUY
0.00010000,30111.38000000,BUY
0.00010000,30124.22000000,BUY
0.00010000,30131.32000000,BUY
0.00010000,30080.11000000,BUY
0.00010000,30101.32000000,BUY
0.00010000,30084.82000000,BUY
0.00010000,30104.78000000,BUY
0.00010000,30122.99000000,BUY
0.00010000,30172.48000000,BUY
0.00010000,30161.48000000,BUY
0.00010000,30079.34000000,BUY
0.00010000,30124.61000000,BUY
0.00010000,30165.69000000,BUY
0.00010000,30162.37000000,BUY
0.00010000,30130.56000000,BUY
0.00010000,30174.42000000,BUY
0.00010000,30167.22000000,BUY
0.00010000,30185.86000000,BUY
0.00010000,30213.25000000,BUY
0.00010000,30210.08000000,BUY
0.00010000,30215.97000000,BUY
0.00010000,30197.42000000,BUY
0.00010000,30170.08000000,BUY
0.00010000,30158.72000000,BUY
0.00010000,30210.63000000,BUY
0.00010000,30196.38000000,BUY
0.00010000,30216.86000000,BUY
0.00010000,30185.05000000,BUY
0.00010000,30223.79000000,BUY
0.00010000,30201.45000000,BUY
0.00010000,30173.97000000,BUY
0.00010000,30171.99000000,BUY
0.00010000,30224.12000000,BUY
0.00010000,30223.92000000,BUY
0.00010000,30240.12000000,BUY
0.00010000,30235.18000000,BUY
0.00010000,30241.29000000,BUY
0.00010000,30187.45000000,BUY
0.00010000,30242.62000000,BUY
0.00010000,30217.46000000,BUY
0.00010000,30208.48000000,BUY
0.00010000,30239.62000000,BUY
0.00010000,30241.78000000,BUY
0.00010000,30200.73000000,BUY
0.00010000,30251.27000000,BUY
0.00010000,30246.90000000,BUY
0.00010000,30226.99000000,BUY
0.00010000,30268.83000000,BUY
0.00011000,30409.86000000,SELL
0.00011000,30430.29000000,SELL
0.00014000,30403.48000000,SELL
0.00014000,30382.19000000,SELL
0.00013000,30385.82000000,SELL
0.00013000,30400.90000000,SELL
0.00013000,30431.11000000,SELL
0.00013000,30409.02000000,SELL
0.00013000,30388.28000000,SELL
0.00013000,30419.60000000,SELL
0.00013000,30427.45000000,SELL
0.00010000,30268.47000000,BUY
0.00010000,30211.82000000,BUY
0.00010000,30240.69000000,BUY
0.00013000,30378.24000000,SELL
0.00012000,30396.90000000,SELL
0.00012000,30395.55000000,SELL
0.00012000,30432.39000000,SELL
0.00012000,30366.67000000,SELL
0.00012000,30391.01000000,SELL
0.00010000,30250.93000000,BUY
0.00010000,30260.25000000,BUY
0.00010000,30251.18000000,BUY
0.00012000,30406.55000000,SELL
0.00011000,30487.12000000,SELL
0.00011000,30385.82000000,SELL
0.00010000,30263.44000000,BUY
0.00011000,30452.14000000,SELL
0.00011000,30398.48000000,SELL
0.00010000,30370.41000000,SELL
0.00010000,30382.55000000,SELL
0.00010000,30421.59000000,SELL
0.00010000,30396.94000000,SELL
0.00010000,30376.68000000,SELL
0.00010000,30376.49000000,SELL
0.00010000,30368.87000000,SELL
0.00010000,30383.82000000,SELL
0.00010000,30430.31000000,SELL
0.00010000,30366.51000000,SELL
0.00010000,30367.85000000,SELL
0.00010000,30379.77000000,SELL
0.00010000,30411.86000000,SELL
0.00010000,30372.02000000,SELL
0.00010000,30406.47000000,SELL
0.00010000,30419.30000000,SELL
0.00010000,30380.12000000,SELL
0.00010000,30381.37000000,SELL
0.00010000,30400.46000000,SELL
0.00010000,30391.35000000,SELL
0.00010000,30367.83000000,SELL
0.00010000,30312.03000000,BUY
0.00010000,30430.61000000,SELL
0.00010000,30414.41000000,SELL
0.00010000,30441.87000000,SELL
0.00010000,30389.83000000,SELL
0.00010000,30400.00000000,SELL
0.00010000,30450.09000000,SELL
0.00010000,30421.45000000,SELL
0.00010000,30382.59000000,SELL
0.00010000,30424.45000000,SELL
0.00010000,30292.80000000,BUY
0.00010000,30307.09000000,BUY
0.00010000,30394.32000000,SELL
